pname,n,total,max_amt
A T K GUN SYSTEMS COMPANY LIMITED LIABILITY COMPANY,31,49416465.83,11809457.73
"ASHFORD LEEBCOR ENTERPRISES III, LLC",71,49406810.96,8533097.79
"SPIRE GLOBAL SUBSIDIARY, INC.",16,49285925.0,9900000.0
"GLOBAL ADVANCED METALS USA, INC.",11,49266605.68,20179800.0
"JOHN W. STONE OIL DISTRIBUTOR, L.L.C.",84,49120994.99,7501160.2
KLEINFELDER - STANTEC USACE A JOINT VENTURE,41,49056959.23,17295384.99
"SUMMIT TECHNOLOGY CONSULTING GROUP, LLC",12,48964484.97,16504100.0
INTEGER TECHNOLOGIES LLC,15,48830851.0,9826205.0
CALUMET DIVERSIFIED MEATS INC.,59,48769010.660000004,6456047.98
EAGLE ONE SOLUTIONS  INC.,75,48606937.36,5916145.2
PRECISION CONSTRUCTION LLC,4,48550792.62,34974036.43
TRUVEN HEALTH ANALYTICS INC.,74,48520952.34,9824187.0
"MODEL 1 COMMERCIAL VEHICLES, INC.",259,48515426.21,2608382.0
COOPERATIVE UTILITY SERVICES LLC,96,48449741.7,2519650.0
"PEOPLESOFT, INC",23,48308140.67,7338165.48
GULF COPPER & MANUFACTURING CORPORATION,95,48117872.01,17778127.35
A. J. ASSOCIATES MANUFACTURING & ENGINEERING CO. INC.,127,48051786.0,8197878.76
COMPUTERS UNIVERSAL INC,205,48000786.5,6226697.48
AECOM-TIDEWATER JV,80,47776672.87,6314300.3
DUOPROSS MEDITECH CORPORATION,12,47702256.24,48310000.0
"PREMIER HEALTHCARE SOLUTIONS, INC",11,47569022.96,23993000.0
PARADIGM SERVICES INC,273,47390664.910000004,2976989.12
TRI-TECHNOLOGIES INC.,145,47277255.43,15509730.0
CH2M HILL FACILITIES & INFRASTRUCTURE INC,129,47253458.67,28609000.0
"CAVALIER TELEPHONE, L.L.C.",266,47220173.75,2718292.3
"COOPER BUILDING SERVICES, LLC",187,47201685.99,5569000.0
K&F INDUSTRIES HOLDINGS  INC.,67,47200627.18,13639824.0
"YOUONE ENGINEERING CO.,LTD",19,46925478.25,6079713.83
FORUM ONE COMMUNICATIONS CORP,223,46914759.23,6726853.44
BRUNSWICK ELECTRIC MEMBERSHIP CORPORATION,55,46573305.69,14251478.37
"ONE CORPS, INC.",229,46535877.23,3641152.52
"RAND & JONES ENTERPRISES CO, INC",239,46407471.29,4984833.0
RICHARD MANUFACTURING COMPANY,149,46385524.67,12036022.0
"SAXMAN ONE, LLC",84,46345216.63,3560056.93
KONE S.A.,685,46241506.46,3985380.0
CONNACHER OIL AND GAS LIMITED,7,46235440.05,25954166.25
"MONTEREY CONSULTANTS, INC.",159,45999171.03,2659067.69
LEONARDO S.P.A.,103,45797599.6,10784185.0
"NLIGHT DEFENSE SYSTEMS, INC.",150,45750905.04,3200000.0
"TETRA TECH DRG JV, INC.",16,45737058.33,10000000.0
"MARYLAND MARITIME, INC.",176,45619337.47,2119000.0
"COOPER ZIETZ ENGINEERS, INC.",188,45550577.01,6391066.02
UNIVERSAL SERVICES PROVIDER LLC,157,45496256.39,2088469.0
"COTIVITI GOV SERVICES, LLC",24,45471314.6,12622787.51
"JONES LANG LASALLE AMERICAS, INC.",28,45450227.07,21726428.92
BAKER-TETRA TECH JV,83,45362568.09,8058712.0
"UNIVERSAL STRATEGY GROUP, INC.",738,45208178.93,3420360.0
"GRUPO LA MODERNA, S.A. DE C.V.",81,45116975.68,8033274.75
"PIONEER CONTRACTING COMPANY, LIMITED",174,45075191.0,3327325.0
NANA REGIONAL CORPORATION  INC.,5,44929681.28,19661169.55
KEYSTONE FIRE PROTECTION CO,81,44892146.12,3657360.0
AMERICAN POLYMERS LLC,93,44854194.78,4522500.0
"SUNSTONE TECHNICAL SOLUTIONS, LLC",221,44673476.27,2158241.24
BRUKER DETECTION CORP,57,44607891.17,4859180.0
ONEIDA INDIAN NATION,87,44485687.56,5101355.0
"ALLIANT ACROSS AMERICA INFORMATION SERVICES, LLC",159,44465123.07,3850225.0
ANTELOPE VALLEY EAST KERN WATER AGENCY,99,44435804.06,1832040.0
RUBICON PROGRAMS INC,86,44312763.17,3617260.76
"ADAYANA, INC.",151,44299145.92,2936126.4
TEK PRECISION CO LIMITED,191,44271514.6,4949360.0
"THIRD WAVE SYSTEMS, INC.",45,44229902.22,15185647.0
TURBINE ENGINE COMPONENTS TECHNOLOGIES CORPORATION,39,44208517.96,16125478.0
SUMMIT FEDERAL SERVICES LLC,122,44075229.9,5508484.0
CORNERSTONE PROGRAMS CORP,101,43985237.410000004,2779584.0
ASHFORD LEEBCOR ENTERPRISES IV LLC,39,43885667.589999996,19717932.0
KIKIKTAGRUK INUPIAT CORP,248,43845244.589999996,5337375.53
"PATTERSON HORTH, INC",90,43799074.269999996,6848000.0
SUMMIT EXERCISES AND TRAINING LLC,75,43732743.21,5262580.1
THE SPECTRUM GROUP MEMBERS LLC,50,43308536.14,4560246.04
"FRONTLINE SECURITY SERVICES, LLC",111,43263351.589999996,4270865.76
ELEKTRO-KRUCK-GMBH  ELEKTROINSTALLATIONEN,34,43208408.83,5446760.89
PULSETECH PRODUCTS CORPORATION,83,42934818.78,3048228.53
"GLOBAL NETWORK SYSTEMS OF MARYLAND, INC.",178,42805844.97,1866633.2
MERIDIAN AIRPORT AUTHORITY,2,42804197.64,24947557.89
CLARK-NEXSEN / CH2M HILL - NORFOLK,128,42750454.72,3814156.0
"INTELLIGENT ENTERPRISE SOLUTIONS, LLC",108,42718164.22,13492651.25
CAREMERIDIAN  LLC,147,42709619.769999996,1335607.92
QUADIENT FINANCE USA INC,435,42597273.26,2000100.0
"DOWL, LLC",20,42500377.07,19251000.0
"REDWIRE SPACE SOLUTIONS, LLC",98,42409163.089999996,10248703.0
DAWSON-HAWAIIAN BUILDERS I,56,41928131.05,16231000.0
NORTH AMERICAN UNITED HEALTHCARE SERVICES JV LLC,59,41785846.0,5188352.0
"PRECISION 2000, INC.",141,41759480.31,5990940.0
INDIAN SUMMER COOPERATIVE INC,29,41691558.03,5735551.5
AERO PRECISION INDUSTRIES LLC,205,41609667.51,3030923.0
AXIM GEOSPATIAL LLC,146,41389629.13,4589703.23
BAE SYSTEMS INFORMATION TECHNOLOGY LIMITED LIABILITY COMPANY,217,41322449.94,9960072.62
NEXONE INC.,251,41272333.660000004,2481645.0
"TSS - DRT JOINT VENTURE, LIMITED LIABILITY CORPORATION",14,41267042.73,10463473.2
VODAFONE GROUP PLC,171,41257867.01,2959349.95
CHOCTAWHATCHEE ELECTRIC COOPERATIVE  INC.,27,41247317.09,12618264.0
"SRA INTERNATIONAL, INC.",101,41185554.08,6260920.0
ADVANCED REGENERATIVE MANUFACTURING INSTITUTE INC,24,41119098.120000005,10000000.0
"JONES, EDMUNDS & ASSOCIATES, INC.",310,41107947.44,2849331.0
"HAWAIIAN ELECTRIC COMPANY, INC.",92,40913786.48,7978835.0
"LUMEN TECHNOLOGIES GOVERNMENT SOLUTIONS, INC",296,40748295.19,3999504.9
HAWAIIAN ELECTRIC COMPANY INC,3,40717539.31,14216288.85
TIDEWATER DISTRIBUTORS LLC,56,40674050.18,12687022.4
AECOM HDR GALVESTON JV,42,40617499.65,14055648.12
SCANDINAVIAN BIOPHARMA HOLDING AB,13,40613408.050000004,20479340.43
"KRATOS SYSTEMS AND SOLUTIONS, INC.",68,40566298.660000004,15029083.0
EMPOWERED MANAGEMENT SOLUTIONS LLC,182,40557734.96,3069959.02
"ENTRUST MANUFACTURING TECHNOLOGIES, INC.",26,40412374.29,9101870.0
"PREMIER MEDICAL DISTRIBUTORS, LLC",74,40342166.9,3731817.27
"CHEROKEE STRATEGIC SOLUTIONS, L.L.C.",35,40251062.81,8995299.54
CORE ONE SOLUTIONS LLC,74,40075029.23,3499419.4
"T-MOBILE USA, INC.",172,40027617.15,14485496.38
UHS HOLDCO  INC.,96,40024173.63,3110000.0
MTM BUILDERS & ERICKSON-HALL A JOINT VENTURE,118,39958357.4,3764437.0
MARFRIG GLOBAL FOODS S/A,18,39951963.339999996,6398620.92
KEYSTONE VOCATIONAL SERVICES INC,53,39937842.25,5107033.59
"BABYLON TELECOMMUNICATIONS, INC",121,39695724.57,2905950.0
ROBBINS GIOIA LIMITED LIABILITY COMPANY,71,39632427.730000004,8505895.4
"K2 CONSTRUCTION CONSULTANTS, INC",33,39547438.64,5334679.58
"AUTOMATION PRECISION TECHNOLOGY, LLC",319,39390693.82,1278428.2
STANTEC GS - AECOM ATLANTIC JOINT VENTURE,213,39343850.3,1275838.65
TERRASIM  INC.,50,39313575.69,7445911.0
CRE8AD8 LLC,1,39125000.0,39125000.0
"SIGNATURE SCIENCE, LLC",102,39097337.91,3610109.26
ZODIAC AEROSPACE,170,39075590.76,11187569.0
ICL PERFORMANCE PRODUCTS LIMITED PARTNERSHIP,75,39057278.27,6202066.95
PARSONS-VERSAR JOINT VENTURE,103,39021830.769999996,9514365.96
"ICONECTIV, LLC",103,38966288.28,6603297.0
MODERNO INC,168,38839820.03,1491592.81
"UXB-KEMRON REMEDIATION SERVICES, LLC",34,38831950.34,18877095.0
GRAHAMS CONSTRUCTION INC,64,38771636.120000005,23138910.0
CHOCTAW NATION OF OKLAHOMA,88,38604469.4,9986245.29
INSITEONE LLC,44,38534727.25,12877992.04
SLONE ASSOCIATES INC,213,38196253.57,8084044.0
"VIRGIN ORBIT NATIONAL SYSTEMS, LLC",20,38178873.75,35000000.0
"WECKWORTH MANUFACTURING, INC",140,38161081.61,4019712.0
AECOM ARCADIS PFAS JV,3,38082314.85,35050794.62
KERNS MANUFACTURING CORP.,80,38073096.91,8659288.0
"EUROPEAN HOLDING COMPANY, SE",22,37922657.11,12934700.0
ALAMO STRATEGIC MANUFACTURING INC,33,37883646.75,5382352.8
INTERNATIONAL RESEARCH AND EXCHANGES BOARD INC.,30,37768732.9,7000000.0
FUJI PHOTO FILM COMPANY LIMITED (0000),102,37582399.25,3682943.0
"ENDURANCE DEFENSE, LLC",78,37558268.42,4977992.92
COOPER/PORTS AMERICA  LLC,13,37506251.5,5417896.48
INTELLIGENESIS LLC,45,37487887.01,5975313.0
TATITLEK UNIVERSAL SERVICES INC,20,37438084.230000004,21058261.0
"DENTRUST DENTAL INTERNATIONAL, INC.",151,37364275.57,2245648.0
BWAY CORPORATION,59,37319392.53,9881610.38
"PADUCAH REMEDIATION SERVICES, LLC",20,37156903.76,45000000.0
"ALIGN PRECISION - CEDAR CITY, LLC",63,37138528.550000004,16652314.06
"AFRICA GLOBAL LOGISTICS MOCAMBIQUE, S.A",14,37126636.0,7467966.0
ONEIDA ENGINEERING SOLUTIONS LLC,34,37104568.96,9895914.0
LOUIS DREYFUS CORPORATION,10,37059033.45,12024975.0
AEONRG LLC,106,36821765.85,7150063.85
"GLOBAL EVALUATION & APPLIED RESEARCH SOLUTIONS (GEARS), INC.",252,36681146.59,1639152.32
"TYONEK MACHINING AND FABRICATION, LLC",89,36629536.11,6696903.2
COSTELLO CONSTRUCTION OF MARYLAND INC,67,36605417.11,11801500.0
ALTARIS  LLC,3,36470000.0,36470000.0
"HONEYBEE ROBOTICS, LTD.",302,36389805.93,1990004.0
CHOCTAW DEFENSE MANUFACTURING LLC,36,36333792.2,10329592.0
"OUTDOOR RESEARCH, LLC",39,36310994.18,10064565.0
"OPTECH-MONETTE, LLC",180,36286756.92,1848000.0
ERICKSON BUILDERS & CO. INC.,141,36235347.14,4520694.0
FEV MOTORENTECHNIK GMBH,200,36232552.0,2000000.0
HORNADY MANUFACTURING COMPANY,66,36025092.83,3933133.6
AECOM + TETRA TECH JOINT VENTURE,17,35918798.03,22684359.88
KELLY & DEWITT INC,92,35849156.77,3361950.0
CHEROKEE NATION TECHNOLOGY SOLUTIONS LLC,157,35757544.79,3503066.09
DUKE UNIVERSITY,110,35577462.46,3147123.6
ADVENTUREONE LLC,43,35433875.9,6536159.62
PRIME MERIDIAN MEDIA INC.,66,35400642.71,6038460.95
"CNI MANUFACTURING, LLC",77,35383581.13,6199722.39
BLACK DIAMOND LIMITED PARTNERSHIP,165,35375794.7,2988790.0
FLUENT LANGUAGE SOLUTIONS  INC.,213,35216168.39,5065000.0
"PIONEER CORPORATE SERVICES, INC.",55,35209659.57,3899945.36
"BLUESTONE LOGIC, LLC",116,35206542.69,2865264.6
SAAB AKTIEBOLAG,46,35132505.74,6387436.0
"FIFTH GAIT TECHNOLOGIES, INC.",85,35093081.66,2908405.0
STONE CANYON INDUSTRIES LLC,35,35084112.39,12391134.0
STANTEC TETRA TECH JV II,59,35071464.370000005,16525933.22
A.T.I. TEAM BOS SIGONELLA,44,34938156.36,13482596.09
"PREMIER FOOD GROUP, INC",4,34915227.56,15533296.8
CRYE PRECISION LLC,67,34899378.31,8238059.6
FORTIS NATIVE GROUP LLC,142,34880748.89,2673667.97
CIVITASDX LLC,20,34777063.13,8898775.53
"WOLTERS KLUWER FINANCIAL SERVICES, INC.",22,34742535.86,5326973.52
ENVIROTECH ENVIRONMENTAL SERVICES INC,39,34650150.769999996,9900948.48
BOYD JONES CONSTRUCTION CO,408,34513828.35,8248000.0
AVATAR ENVIRONMENTAL LLC,201,34452476.59,1755192.45
PREMIER TECHNICAL SERVICES CORPORATION,38,34388280.83,4810933.7
"SYSOREX GOVERNMENT SERVICES, INC.",89,34384640.97,2176482.2
"CS ONE CO., LTD.",212,34244009.19,1716632.52
"JEFFREY C. STONE, INC.",38,34227924.82,18731000.0
"MID-ATLANTIC COOPERATIVE SOLUTIONS, INC.",66,34052923.15,16471549.38
"TABET MANUFACTURING COMPANY, INC.",46,33978367.12,9245578.0
ENGENIUSMICRO LLC,95,33947995.19,10986876.31
MALATH COOPERATIVE INSURANCE AND REINSURANCE COMPANY,117,33907644.410000004,2541663.21
A & N ELECTRIC COOPERATIVE,107,33895779.48,1366615.0
"STANLEY CONSULTANTS, INC.",121,33761129.86,19044838.2
C. OVERAA & CO./BAYVIEW ENGINEERING & CONSTRUCTION A JOINT VENT,56,33760235.22,22974472.0
PICASSO PARENT COMPANY  INC.,40,33742579.6,8813130.15
"EVOTECH, LLC",64,33689391.06,3857875.68
"PARADIGM ENGINEERS AND CONSTRUCTORS, PLLC",230,33632578.42,2389144.0
HUNTER HEALTH CLINIC INC,102,33583272.62,9921318.0
"NV5 CONSULTANTS, INC.",145,33560286.27,4505669.0
"INFLEQTION QUANTUM, LLC",103,33449402.53,3550000.0
LECGI INC,87,33439299.67,3704979.77
"MARYLAND INDUSTRIAL TRUCKS, INCORPORATED",117,33384053.5,3527800.0
"PSIQUANTUM, CORP.",3,33294066.0,22458948.0
"ONESOURCEPCS, LLC",122,33121321.650000002,1649474.3
APOLLO INFORMATION SYSTEMS CORP,30,33021983.4,3827886.64
"SUMMIT INFORMATION SOLUTIONS, INC",129,32955475.51,2085060.0
"AERO COMPONENTS, LLC",186,32940065.86,2073760.0
GOODWILL KEYSTONE AREA,119,32633856.01,2936428.62
INTELLIGENT FIBER OPTIC SYSTEMS CORPORATION,175,32596896.14,1973564.0
"MARK CERRONE, INC.",20,32596803.03,17553000.0
"TYONEK SERVICES OVERHAUL FACILITY - STENNIS, LLC",42,32464954.97,2193472.32
SUMMIT HELICOPTERS INC,141,32418191.41,2211000.0
BK MANUFACTURING CO INC,153,32362799.45,1916250.0
"LIONEL HENDERSON, INC",98,32349589.64,8563508.8
RAPPAHANNOCK ELECTRIC COOPERATIVE,186,32253476.47,2378160.0
"MANAGEMENT AND TRAINING CONSULTANTS, INC.",120,32112820.990000002,2700179.2
ATHENA GTX INC,89,31993121.580000002,4397478.0
"INNOVATE INTERNATIONAL INTELLIGENCE AND INTEGRATION, LLC",32,31865441.22,4971591.36
SOUTHWEST EDUCATIONAL DEVELOPMENT CORPORATION,22,31803497.66,9160393.0
GREINER BIO-ONE NORTH AMERICA  INC.,10,31765004.759999998,17163432.0
AMERICAN SECURITIES LLC,53,31737067.0,3663475.0
TEC-AECOM JOINT VENTURE,175,31718838.18,1225884.0
"VECTRUS-J&J FACILITIES SUPPORT, LLC",81,31678247.1,16192734.32
NEUROWAVE SYSTEMS INC,59,31628744.86,5652529.0
NOVARTIS SANIERUNGSSTIFTUNG,106,31342718.84,4732607.88
COQUILLE ECONOMIC DEVELOPMENT CORPORATION,41,31299893.78,15297521.5
POND-TETRA TECH JV LP,59,31234432.55,2099908.53
"KDH DEFENSE SYSTEMS, INC.",44,31151780.22,13821775.66
NEW HAMPSHIRE BALL BEARINGS  INC.,88,31110194.78,2206569.0
"INGENESIS STGI PARTNERS, LLC",235,31026056.68,2718739.2
PRUITT CORPORATION,51,30925129.09,2066688.0
"DEHLER MANUFACTURING CO., INC.",160,30843686.009999998,2759868.23
SUSSEX RURAL ELECTRIC COOPERATIVE,164,30709241.36,3160497.0
"ONEBRIEF, INC.",28,30706100.5,3500000.0
"INTELLIGENT FUSION TECHNOLOGY, INC.",104,30670073.25,1500000.0
DAWSON-ZAPATA JV LLC,68,30602566.509999998,4678124.1
AERONAVDATA INC,135,30589055.71,1867837.0
CJI CORNERSTONE PROJECTS PTY LTD,10,30572111.229999997,36934758.0
"MARS, INCORPORATED",27,30558649.93,4922498.02
"INTERCELL USA, INC.",5,30549600.0,12024100.0
LEE PRECISION MACHINE SHOP INC,142,30510273.65,1967700.0
ESKILLZ CORP,129,30450483.58,3052372.31
"ES SQUARED, LLC",145,30383886.16,4000000.0
"JOE R. JONES CONSTRUCTION, INC.",188,30321949.45,3085000.0
"FREESTATE ELECTRIC COOPERATIVE, INC",115,30319311.48,2525097.04
THE PORT GRAHAM CORPORATION,116,30147742.45,4994130.39
PREMIER ALLIANCES INC,92,29916163.06,2400096.0
ARCHWAY SOLUTIONS LIMITED LIABILITY COMPANY,69,29862370.08,3977680.0
"STONEWIN INTERNATIONAL, LLC",68,29805393.86,2122252.5
"HEARTLAND MANUFACTURING, INC.",18,29756668.16,14713382.24
BLACKSKY HOLDINGS INC,53,29716999.3,3538098.0
BOONERANG CONSULTING LLC,100,29703678.02,3991502.0
"GEHRY PARTNERS-AECOM EISENHOWER MEMORIAL DESIGN TEAM, A JOINT VENTURE",99,29605401.919999998,2985074.42
PAGODA-BROADWAY JOINT VENTURE ONE LLC,49,29597279.96,20157000.0
"MARTONE RADIO TECHNOLOGY, INC.",43,29524412.94,3510000.0
JONES LANG LASALLE AMERICAS  INC.,20,29433459.21,16469416.32
"C.C. CALZONE, LLC",135,29347270.17,3806230.0
PERNIX GUAM LLC,21,29311091.37,26463336.0
BWAY PARENT COMPANY  INC.,14,29285344.09,10025722.07
"REDWIRE SPACE ENTERPRISES, INC.",189,29271717.0,2300000.0
PARADIGM CCW JV LLC,28,29249162.77,6679444.0
"ALE ENVIRONET JV, LLC",4,29222583.46,9497361.0
TRICENTURION INC,32,29196989.75,4752021.0
LORAL SPACE & COMMUNICATIONS INC.,45,29123822.01,10125000.0
WELLTON-MOHAWK CO-OP,104,29110715.240000002,1400000.0
ONEIL & ASSOCIATES INC,49,29077595.720000003,10000000.0
FIKE CORPORATION,354,29074863.81,1800230.0
GRAND EAGLE SUMMIT LLC,57,28964680.97,2372500.0
YELLOWFIN TRANSPORTATION INC,88,28813403.62,2304248.0
"STRIDER TECHNOLOGIES, INC.",26,28810071.7,4208750.0
"PORT GRAHAM TECHNOLOGIES, LLC",89,28795136.169999998,4977376.56
ROCHE HOLDING AG,5,28690132.41,24720600.0
COMMISSARIAT A ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,113,28664862.52,1966125.78
NAUTILUS DEFENSE LLC,25,28610207.84,7331748.16
"ZONE 5 TECHNOLOGIES, LLC",36,28586932.0,7500000.0
FRONTIER TECHNOLOGIES INC,103,28565277.57,6105786.8
"ICALLIDUS, INC.",146,28536251.39,2902392.0
"STRATEGIC TECHNOLOGIES ANALYTICS GROUP, LIMITED LIABILITY COMPANY",35,28500641.0,4797739.0
"B.C. SCHMIDT CONSTRUCTION, INC.",114,28490461.26,2689965.02
"ACCLARO RESEARCH SOLUTIONS, INC.",109,28435365.41,1533516.0
DIGITIZED SCHEMATIC SOLUTIONS LLC,91,28414121.32,3224208.0
HO'ONA'AUAO FOUNDATION,39,28388427.2,13843008.0
COMPASS FEDERAL CONSULTING LIMITED LIABILITY COMPANY,67,28374404.96,2907814.1
NEW FRONTIER INNOVATIONS LLC,69,28301643.32,9976465.91
FORUM ONE COMMUNICATIONS CORPORATION,152,28262485.61,4929462.82
CONEXUS INC,101,28193241.87,2601278.0
UNIVERSAL MARINE COMPANY (K.S.C),43,28154097.5,5000000.0
SWIFT RIVER VERSAR JV,109,28137275.53,1801547.84
"EAGLE ONE SOLUTIONS, INC.",45,28112635.28,5499839.75
DANIELS MANUFACTURING CORPORATION,90,28037404.9,1537115.25
AVATAR PARTNERS INC,22,28002630.28,4928736.0
THE CONSULTANTS CONSORTIUM LLC,69,27928434.69,6286750.0
VERSAR-ARCADIS A JOINT VENTURE,44,27829014.57,4249691.0
PROTONEX TECHNOLOGY CORPORATION,96,27807677.61,2857873.96
"ABILITY WORKS, INC.",185,27798153.9,1564780.28
NAVIGAZIONE MONTANARI SPA,48,27559687.24,3267375.0
MERIDIAN GLOBAL CONSULTING LLC,22,27509834.65,18782750.0
SUNGARD CAPITAL CORP.,103,27454875.68,5353716.0
POLYMER TECHNOLOGIES INC,87,27433010.82,3387526.03
"TOUCHSTONE RESEARCH LABORATORY, LTD.",93,27431531.11,4480652.0
SUMMIT TECHNOLOGIES LLC,58,27428055.82,4569281.98
"KEMRON-CMC REMEDIATION SERVICES, LLC",29,27406382.07,13995000.0
VALNEVA USA  INC.,8,27376987.439999998,8250681.6
"ROCKWOOD GENERAL CONTRACTORS, INC.",70,27367153.33,4680157.01
NAVANTIA SA SME.,80,27359766.2,16691612.55
INVESTEC ASSET MANAGEMENT NORTH AMERICA INC.,33,27358526.33,3714000.0
DAIRYLAND TRADING CO LLC,35,27302454.24,4621416.0
ARE-MARYLAND NO 24 LLC,268,27297006.98,1054504.0
"KING PHARMACEUTICALS, INC.",20,27290668.47,8179697.0
HECO PACIFIC MANUFACTURING INC,137,27265006.32,2885695.0
TETRA TECH/MASON & HANGER JOINT VENTURE,50,27239894.1,12979810.0
"PONDEROSA TIMBERLAND, INC.",120,27220317.3,2273275.21
PIONEER CREDIT RECOVERY  INC,15,27092184.92,12000000.0
CADRE5 LLC,25,27062649.919999998,8460197.0
TECO ENERGY  INC.,85,26987290.89,12823689.68
"RED ONE CONSTRUCTION, LLC",70,26966795.78,3898075.88
MISSION INNOVATE LLC,20,26947246.28,7204174.99
AEON DELIGHT CO LTD,21,26913117.06,5916402.46
"MILESTONE CONSTRUCTION SERVICES, INC.",90,26796763.18,6052600.0
VECTOR-SOLUTIONS.COM  INC.,52,26785776.3,3231660.45
STEVE B HAWKINS,115,26763980.65,1934607.17
"NETDOCUMENTS SOFTWARE, INC.",15,26682982.66,6117500.0
SKILLSOFT (US) LLC,69,26602486.39,2659718.0
BEAT-ATC LIMITED LIABILITY COMPANY,49,26582956.97,5153115.84
MILESTONE EXCAVATION INC,9,26551194.389999997,18795000.0
CASCADE DESIGNS INC,63,26548355.54,3300000.0
"VERSAR SECURITY SYSTEMS, LLC",219,26532927.06,3880000.0
INFICON HOLDING AG,20,26515600.79,25248714.06
"ONE STOP SERVICES/HKI, INC",71,26498695.21,4578437.76
SIA-STANTEC LLC,67,26445906.43,7025038.62
"SYNEDGEN, INC.",29,26408021.31,16937463.0
PARADIGM PARACHUTE AND DEFENSE INC,90,26402244.92,6444000.0
T. J. MAHONEY & ASSOCIATES,25,26381405.85,4744430.6
"WASHINGTON SQUARE ASSOCIATES, INCORPORATED",41,26323431.81,4900000.0
DATA & ANALYTIC SOLUTIONS INC,128,26322523.240000002,2503680.0
ONEONTA TRADING CORPORATION,17,26243035.45,4959900.0
"CATALENT MARYLAND, INC.",29,26195290.82,6600000.0
KEYSTONE FOODS LLC,17,26174577.09,5336526.0
SILVER EAGLE MANUFACTURING CO,27,26158658.12,15075694.45
"APOLLO-HPM, A JV",16,26142490.0,24165197.0
WEST PUBLISHING CORPORATION,81,26022146.52,4833292.0
"BAILEY'S PREMIER SERVICES, LLC",174,26010848.28,1340837.8
"FREESTONE ENVIRONMENTAL SERVICES, INC",31,25993239.72,3766958.0
HUITT-ZOLLARS MASON & HANGER JOINT VENTURE,2,25865685.19,24612943.0
TEXTAINER EQUIPMENT MANAGEMENT,210,25864861.669999998,3305414.5
A WBE-CCI JOINT VENTURE ONE LLC,55,25790319.98,11877000.0
ANDRITZ AG,108,25758912.55,2304100.0
JAMES F THOMSON JR,48,25755207.7,13087038.0
"PRECISION CUSTOM COMPONENTS, LLC",94,25747685.64,7967298.0
"LOUISIANA, STATE OF",85,25559708.99,2485423.71
PRECISION INTEGRATED PROGRAMS LLC,35,25464355.63,11345577.0
COBHAM PLC,30,25424378.98,5304479.9
NEW MEXICO GAS COMPANY  INC.,96,25394601.72,12480838.29
"CONVEYOR HANDLING COMPANY, INC.",110,25274189.72,3801980.0
PARKHILL SMITH & COOPER INC,117,25180107.6,3873265.0
"BAIN CAPITAL, LLC",77,25148536.04,2995305.36
"PIONEERING EVOLUTION, LLC",84,25136972.7,2235393.54
MAUNALANI NURSING & REHABILITATION CENTER,25,25093470.74,1547226.97
A C BLOUNT CONCRETE SERVICE INC,107,25062879.02,2810535.76
MMI OUTDOOR INC,70,25017073.49,1888213.25
"LONZA WALKERSVILLE, INC",56,24995618.22,17181864.48
OPEN ACCESS TECHNOLOGY INTERNATIONAL INC,127,24993606.77,2109592.45
"TPG CAPITAL MANAGEMENT, L.P.",16,24989362.68,17948082.83
FACILITY HEALTHCARE SERVICES INC,51,24963769.04,2395504.0
MICHAEL BAKER JR INC - AECOM JV,39,24893597.29,3559916.64
PREMIER PROFESSIONAL SYSTEMS INC,141,24874184.67,3110126.25
"SUMMIT TECHNICAL RESOURCES, INC",71,24860504.76,3371149.73
RED ONE MEDICAL DEVICES LLC,62,24839246.29,1581330.39
"ASSOCIATED AIRCRAFT MANUFACTURING & SALES, INC.",134,24809905.79,2203500.0
ROLLING BAY LIMITED LIABILITY COMPANY,32,24729474.86,6815165.0
FRONTLINE ENTERPRISES LLC,71,24696145.03,1344598.71
"LOGISTIC SOLUTIONS, LLC",65,24636732.24,3000000.0
"SUMMIT-TLI JOINT VENTURE, LLC",3,24591918.22,19452367.0
MODULAR GENIUS INC,148,24569367.96,6244407.0
"ASHFORD LEEBCOR ENTERPRISES V, LLC",14,24558347.169999998,22771438.54
GALAPAGOS-INTELLIDYNE SOLUTIONS LLC,4,24533908.8,12266954.4
AYUDA-PLEXUS JOINT VENTURE LLC,13,24528333.2,8866702.0
"SUNLIGHT ENTERPRISES CO., INC.",76,24490196.25,3731922.58
CHAMPIONSHIP ENTERPRISES INC,99,24476636.46,3998138.04
"CHINOOK SYSTEMS, INC.",44,24351806.2,4347648.48
RELATIVITY MANAGEMENT  LLC,37,24292460.8,12372812.8
COOPER TACIA GENERAL CONTRACTING COMPANY,6,24159529.65,23657004.65
JONES STEVEDORING COMPANY,42,24137772.71,2792811.0
BAIRD-STANTEC JOINT VENTURE,52,24105304.28,5167792.0
"VISIONARY INTEGRATION PROFESSIONALS, INC.",116,24035528.35,1913043.0
"DATA STORAGE SCIENCE, LLC",21,24009536.71,4913435.2
H.L. PRUITT CORP.,15,23994941.9,11976000.0
MANTECH-AECOM JOINT VENTURE,54,23971050.79,6455208.91
MILESTONE CONTRACTORS LP,52,23964825.44,2000000.0
"VIKING ENGINEERING AND CONSTRUCTION, LLC",128,23923930.57,1681439.16
"IDONEOUS EDUCATIONAL SERVICES, INC.",92,23922376.43,2147774.4
MICROSEMI FREQUENCY AND TIME CORP,95,23905882.11,1700000.0
"TRI-TECH U.S.A., INC.",20,23900531.5,4955500.0
